id,value
115886,886
20754,754
93431,431
91542,542
2283,283
78404,404
57464,464
23570,570
36952,952
12062,62
112291,291
67051,51
119565,565
28560,560
2457,457
12014,14
65577,577
20116,116
18685,685
43585,585
31956,956
69550,550
66946,946
111485,485
95638,638
36581,581
73884,884
32453,453
4670,670
18528,528
76657,657
97449,449
64127,127
116199,199
62042,42
65402,402
47919,919
18961,961
121310,310
54807,807
95633,633
104402,402
85505,505
33749,749
70764,764
98716,716
37773,773
4564,564
17152,152
102576,576
6202,202
55474,474
90965,965
9018,18
124057,57
29192,192
23647,647
59440,440
41647,647
62947,947
34302,302
106567,567
90305,305
10772,772
102364,364
116067,67
32881,881
19999,999
81501,501
101382,382
95961,961
16260,260
66222,222
108556,556
38762,762
26685,685
98121,121
7721,721
15757,757
74772,772
118706,706
50972,972
35210,210
74182,182
112293,293
40579,579
4772,772
122800,800
89330,330
77248,248
57915,915
67737,737
122586,586
37421,421
115448,448
59521,521
108942,942
38058,58
56031,31
107924,924
122528,528
123054,54
90620,620
73092,92
59475,475
7256,256
17024,24
35171,171
118595,595
17018,18
9622,622
124214,214
86764,764
109358,358
114875,875
116933,933
35058,58
62507,507
120220,220
15930,930
85018,18
36096,96
34947,947
109510,510
96849,849
110898,898
55849,849
35980,980
56593,593
95727,727
38080,80
25511,511
72974,974
30046,46
87909,909
83720,720
16842,842
72938,938
54891,891
72680,680
19838,838
91222,222
23204,204
34459,459
18155,155
102508,508
44523,523
45097,97
53185,185
114517,517
68034,34
44248,248
81230,230
1369,369
33077,77
82757,757
37326,326
33286,286
69233,233
84200,200
26008,8
70355,355
24650,650
22787,787
63256,256
29391,391
84820,820
3457,457
16388,388
62395,395
89389,389
711,711
32368,368
2962,962
108492,492
79938,938
36814,814
118970,970
35609,609
106889,889
123832,832
10947,947
44838,838
118977,977
76740,740
103804,804
65242,242
59252,252
109284,284
120141,141
93958,958
70504,504
64860,860
98010,10
20699,699
115832,832
6911,911
6153,153
93097,97
22367,367
87541,541
55866,866
31888,888
71146,146
66419,419
40965,965
62811,811
59419,419
111457,457
78704,704
17095,95
26701,701
97093,93
61849,849
16175,175
8011,11
36019,19
62946,946
12019,19
124259,259
101924,924
30640,640
59878,878
96969,969
114098,98
106329,329
78338,338
44998,998
79743,743
31788,788
76214,214
21314,314
101537,537
48269,269
8489,489
72336,336
67266,266
19496,496
108518,518
59148,148
32746,746
46945,945
93101,101
99998,998
102228,228
66853,853
30752,752
116308,308
69571,571
122302,302
83641,641
2701,701
116426,426
52088,88
86422,422
107971,971
35400,400
77839,839
94319,319
6648,648
91864,864
12187,187
51328,328
27871,871
99878,878
103722,722
5195,195
114817,817
26476,476
54808,808
55954,954
14536,536
661,661
94694,694
75363,363
19286,286
34951,951
4631,631
112212,212
70413,413
96815,815
8076,76
17940,940
88575,575
73946,946
104487,487
84740,740
43548,548
93299,299
113532,532
107162,162
112952,952
42425,425
89514,514
20800,800
109402,402
83538,538
39940,940
54248,248
5219,219
23597,597
13600,600
121917,917
30779,779
56211,211
67350,350
35809,809
9825,825
58940,940
51643,643
95047,47
89914,914
124731,731
7054,54
87334,334
5214,214
109712,712
21610,610
77931,931
99269,269
108197,197
30059,59
78364,364
93756,756
41635,635
16069,69
68316,316
35857,857
74162,162
97864,864
106835,835
56707,707
86751,751
43307,307
118041,41
69085,85
28648,648
33957,957
51633,633
100239,239
56491,491
43560,560
66858,858
89709,709
109650,650
51759,759
22621,621
18583,583
49654,654
102158,158
50499,499
29510,510
51720,720
66829,829
112360,360
42686,686
29818,818
30090,90
14073,73
37536,536
22141,141
13553,553
66405,405
98353,353
57976,976
21695,695
19396,396
80048,48
56739,739
12816,816
113430,430
36883,883
20635,635
110426,426
8174,174
85747,747
3465,465
23802,802
22016,16
3417,417
7003,3
22207,207
1331,331
11308,308
123291,291
43856,856
1974,974
58050,50
70095,95
76105,105
60157,157
78662,662
103905,905
387,387
13586,586
27898,898
16994,994
78464,464
14860,860
59605,605
124412,412
65820,820
87806,806
44484,484
78143,143
528,528
59221,221
106776,776
96173,173
34007,7
2543,543
74210,210
32640,640
56793,793
10227,227
61419,419
33208,208
108022,22
91360,360
33164,164
1208,208
15149,149
94133,133
68749,749
79484,484
15125,125
94749,749
28751,751
69555,555
114860,860
113192,192
49780,780
123767,767
22064,64
51270,270
102866,866
29840,840
74705,705
115573,573
49935,935
59649,649
22256,256
43130,130
21959,959
84409,409
94042,42
79608,608
6952,952
45133,133
47542,542
85687,687
57668,668
122142,142
113159,159
5440,440
50126,126
46883,883
86563,563
89115,115
123454,454
109775,775
99585,585
124671,671
93761,761
58950,950
110619,619
124189,189
46649,649
94353,353
72544,544
122894,894
63915,915
35022,22
106842,842
121296,296
13756,756
65362,362
21491,491
19797,797
119411,411
107154,154
123334,334
56533,533
39026,26
68043,43
63026,26
65927,927
86481,481
65513,513
52580,580
107463,463
35298,298
122807,807
45490,490
15497,497
37663,663
36103,103
65389,389
60639,639
22011,11
121305,305
27588,588
56733,733
51932,932
96928,928
6517,517
66991,991
92344,344
99248,248
90615,615
15591,591
77416,416
58876,876
41911,911
1006,6
114389,389
74848,848
38677,677
71032,32
106264,264
122722,722
15789,789
122853,853
111541,541
4124,124
103436,436
23700,700
34705,705
63579,579
1765,765
44317,317
66471,471
45410,410
73845,845
104773,773
103919,919
43080,80
39805,805
83035,35
95140,140
15660,660
42326,326
37393,393
23489,489
91676,676
53792,792
95590,590
13358,358
90993,993
58527,527
79698,698
115659,659
48515,515
68449,449
7195,195
5467,467
110060,60
58285,285
4552,552
113950,950
10035,35
44864,864
67179,179
102638,638
42967,967
17714,714
45295,295
106179,179
106435,435
39187,187
88682,682
49340,340
107560,560
75949,949
79784,784
75785,785
100049,49
81540,540
96492,492
58140,140
95334,334
105044,44
28455,455
22891,891
33854,854
33656,656
51033,33
45357,357
14428,428
11771,771
60746,746
70982,982
74416,416
5920,920
89954,954
87049,49
29306,306
6416,416
67306,306
9996,996
121637,637
15118,118
51805,805
82054,54
106827,827
14531,531
33040,40
65447,447
104526,526
51084,84
99991,991
58730,730
82886,886
77051,51
21519,519
46647,647
77904,904
31331,331
22444,444
61033,33
27930,930
8678,678
95412,412
124951,951
27335,335
59435,435
58917,917
65475,475
16708,708
34010,10
17051,51
4813,813
87240,240
80730,730
120497,497
16291,291
18816,816
2563,563
40971,971
75922,922
56935,935
86247,247
65339,339
18331,331
83942,942
75612,612
117744,744
95377,377
97801,801
21469,469
47337,337
6550,550
81616,616
2867,867
51254,254
89862,862
74373,373
6207,207
94789,789
109344,344
33192,192
39452,452
84689,689
89055,55
17775,775
65739,739
94187,187
10963,963
11842,842
39000,0
16083,83
80300,300
108324,324
36673,673
120059,59
46357,357
122355,355
79768,768
66256,256
5631,631
94346,346
118367,367
122354,354
24693,693
115475,475
53645,645
69485,485
36810,810
15735,735
11014,14
35186,186
95914,914
58885,885
96846,846
57175,175
59426,426
24217,217
1112,112
55285,285
28135,135
7526,526
28466,466
31673,673
70358,358
15364,364
92447,447
111505,505
103178,178
113795,795
102287,287
99380,380
34038,38
109016,16
18229,229
78828,828
23703,703
78486,486
53677,677
100427,427
70096,96
111640,640
98271,271
118233,233
78366,366
64657,657
24093,93
37050,50
33507,507
33478,478
48325,325
23996,996
120561,561
34219,219
88339,339
122634,634
75041,41
33938,938
119530,530
88445,445
13819,819
15780,780
50879,879
48252,252
56314,314
5693,693
10884,884
93642,642
77843,843
124774,774
106267,267
36020,20
94262,262
32896,896
108405,405
99055,55
104058,58
30084,84
77247,247
62783,783
52497,497
30539,539
638,638
1608,608
62234,234
58582,582
44776,776
9578,578
58605,605
35220,220
11144,144
65609,609
4085,85
122149,149
43143,143
51519,519
1831,831
19419,419
111812,812
49473,473
10005,5
67147,147
7868,868
83314,314
115699,699
100177,177
14562,562
60416,416
62316,316
52840,840
93441,441
100998,998
73679,679
41481,481
35256,256
73381,381
124831,831
63962,962
87747,747
86228,228
93897,897
47376,376
27299,299
50392,392
88147,147
15346,346
49596,596
95616,616
104050,50
20786,786
57317,317
121393,393
41397,397
49861,861
120068,68
76913,913
49324,324
60220,220
101135,135
88025,25
61012,12
70887,887
52092,92
3421,421
99528,528
92520,520
112675,675
22987,987
91776,776
37053,53
23656,656
12458,458
61398,398
113187,187
82320,320
37644,644
36121,121
50560,560
81376,376
4374,374
56098,98
26991,991
88845,845
58790,790
88239,239
117789,789
62389,389
113268,268
37885,885
65806,806
108660,660
82711,711
81409,409
23840,840
74801,801
91966,966
105605,605
11589,589
